code;value
jsp;JSP
versi;Insurance salesman
pump;Pump Engineering
xml;XML
nurs;Nursing
stk;Smalltalk
verso;Building Services Engineering
plsql;PL/SQL
msout;Outlook
rz;Systems Management
lucen;Apache Lucene
melaw;Medical Law
rr;Rational Rose
mrwr;Mercury WinRunner/QualityCenter
kondi;Confectioner
datmi;Data Mining
mvs;MVS/OS-390
frb;Firebird
win16;Windows 95/98/Me
land;Landscaping
sinix;Sinix
biolo;Biology
winnt;Windows NT
fonac;Fonds Accounting
tos;TOS
hrm;HRM - Human Resource Management
jsc;JavaScript
s7;Step 7
dent;Dental Technology
jsf;JSF
dcom;DCOM
mdyn;Dynamics of Machines
galen;Galenik
fsa;Driving License A Motorcycles
biome;Biomedicine
fsb;Driving Licence B Cars
fsc;Driving License C Trucks
adesk;AutoDesk
fsd;Driving License D Buses
juris;Jurisprudence
inves;Investment Banking
schwe;Welder
inven;Inventor
inter;Internal Medicine
elek;Electrician
mvc;Model View Controller
grov;Groovy
rupla;Ruplan
html;HTML/XHTML
pp;PowerPoint
r3;SAP-R3
wasse;Hydraulic Engineering
oelg;Mineral Oil, Gas
pr;Public Relation (PR)
win32;Windows XP/2000/Vista
out;Output
nosql;NoSQL
genme;General Medicine
jprb;JProbe
catia;CATIA CADAM
lohn;Payroll accounting
fop;Apache-FOP
prodm;Production Mechanics
sapfi;SAP-FI - Finance
ether;Ethernet
vmath;Actuarial Mathematikc
fpa;FP&A
hyp;Hyperion
tiefb;Civil Engineering
relaw;Real Estate Law
ewsad;Eclipse WSAD
terad;Teradata
wine;Vine Dresser
biote;Biotechnology
phleb;Phlebologie
econo;Economic Science
sapec;SAP-EC - Enterprise Controlling
intgr;Intergraph
oob;OpenOffice.org Base
avio;Avionik
agron;Agronomy
qxp;QuarkXPress
ooa;OOA/OOD
asi;ASI-Bus
biost;Biostatistic
glaz;Glazier
proce;Process Mechanics
_4d;4th Dimension
asp;ASP
glas;Glass Construction
fraes;Chamfer
istqb;ISTQB - Certified Tester
fmp;FileMaker Pro
gimp;GIMP - GNU Image Manipulation Program
saphr;SAP-HR - Human Resources
tcl;Tcl / Tcl/Tk
apqp;APQP (Advanced Product Quality Planning)
saphm;SAP - Human Capital Management
msoff;MS Office
bila;Balance sheet analyses
miner;Mineralogy
sages;Sage Software
datev;Datev
dieta;Dietician
angul;AngularJS
bioph;Biopharmacy
pneum;Pneumology
apl;APL
clfs;Cold Fusion (CFML)
ecops;Economic Psychology
logo;Logpaedics
edge;EDGE
proc4;Process4Biz
os2;OS/2
acad;AutoCAD
cater;Catering
malea;Machine Learning
emjav;Embedded Java
gpta;Gupta / Centura
foc;Focus
menik;Motor Mechanic
ecope;Economic Pedagogy
sapha;SAP-HANA
brand;Fire Protection Engineering
sacfm;SAP-CFM - Corporate Finance Management
cloud;Cloud Computing
retai;Retailer
ecoph;Economic Philosophy
dialy;Dialysis
diet;Diet chef
epow;Ethernet Powerlink
bphys;Building Physics
wiss;Knowledge Management
tomct;Apache Tomcat
werk;Toolmaker
vtig;Vtiger
ecoso;Economic Sociology
bwlfo;Agriculture and Forestry
three;3D Design
biovv;Bioprocess Engineering
vms;VMS
cardi;Cardiology
psych;Psychology
onr49;ONR 49000
vsam;VSAM
lack;Lacquerer
sapis;SAP - Industry Solutions
vorri;Prestraightener
rhino;Rhinoceros
embed;Embedded Software Development
food;Food Technology
msbiz;MS BizTalk Server
dlp;Delphi
pest;Pest Control
tex;TeX/LaTeX
word;MS-Word
hask;Haskell
x25;X.25
senso;SensorTechnology
treas;Treasury
adlaw;Administrative Law
dli;DL/I
cryr;Crystal Reports
saplo;SAP-LO - Logistics General
saplm;SAP-PLM - Product Lifecycle Mgmt
fin;Finance
ass;Assembler
subvs;SubVersion
boeko;Construction Economy
atm;ATM
fina;Accounting
i2000;ISO 20000
indme;Industrial Mechanics
caddy;CADdy
ciwm;CIWM
indma;Industrial Management
frmrl;Frame Relay
onmar;Online Marketing
ortho;Orthopedy
mech;Mechanics
vxwo;VxWorks
targe;TargetLink
vpn;VPN
intme;Intensive Care
book;Bookbinder
verme;Surveying and Alignment
saple;SAP-LE - Logistics Execution
fime;Fine Mechanics
